name,format,overs,runs_conceded,wickets,matches
Rahul Chahar,T20,18,194,5,5
Josh Inglis,T20,0,0,0,39
Jason Holder,T20,53,605,13,18
Mohsin Khan,T20,29,291,7,8
MS Dhoni,T20,0,0,0,10
Lalit Yadav,T20,54,516,20,25
Ishant Sharma,T20,102,1126,34,33
Arzan Nagwaswalla,T20,139,1158,63,36
Sakib Hussain,T20,18,181,2,5
Joe Root,T20,113,1072,34,38
Shiran Fernando,T20,179,1601,86,48
Amila Aponso,T20,141,1315,35,46
Yuvraj Chaudhary,T20,14,136,2,8
Akash Vasisht,T20,95,833,45,36
Tharindu Rathnanayake,T20,45,449,8,16
Dushmantha Chameera,T20,103,965,34,29
Lukman Meriwala,T20,13,148,2,4
Bhanu Pania,T20,0,0,0,45
Praveen Jayawickrama,T20,103,894,40,31
Rahul Tripathi,T20,0,0,0,50
Akash Deep,T20,18,164,4,6
Dian Forrester,T20,131,1218,42,46
James Coles,T20,59,598,13,18
Nick Kelly,T20,0,0,0,4
Xavier Bartlett,T20,28,277,8,7
Sam Hain,T20,0,0,0,28
Scott Curie,T20,55,487,23,17
Dunith Wellalage,T20,63,588,15,20
CV Stephen,T20,139,1277,50,40
Ravi Teja,T20,67,638,30,20
Dan Mousley,T20,11,138,1,5
Rohan Kunnummal,T20,0,0,0,13
Luhan dre pretorious,T20,0,0,0,8
Bjorn Fortuin,T20,27,255,5,8
Shubham Dubey,T20,0,0,0,1
Shubman Gill,IPL,1,12,0,194
Bhanu Pania,IPL,0,0,0,39
Ishan Kishan,IPL,0,0,0,210
Joe Root,IPL,11,133,1,6
Suryakumar Yadav,IPL,0,0,0,95
Tilak Varma,IPL,102,1019,18,199
Shivam Mavi,IPL,114,1081,21,35
Shiran Fernando,IPL,766,7281,313,212
Suyash Sharma,IPL,66,723,20,21
Blessing Muzarbani,IPL,44,393,8,12
Arshdeep Singh,IPL,414,3772,119,118
Ayush Mhatre,IPL,2,16,0,149
Ruturaj Gaikwad,IPL,0,0,0,149
Rahul Tripathi,IPL,0,0,0,91
Sanju Samson,IPL,0,0,0,133
Mukul Choudhary,IPL,0,0,0,173
Shivam Dube,IPL,192,1935,48,143
Shahbaz Ahmed,IPL,332,3203,65,140
Prashant Veer,IPL,414,3556,122,133
Mitchell Starc,IPL,501,4405,216,135
Adam Zampa,IPL,488,4266,220,135
Matheesha Pathirana,IPL,94,809,34,27
Mitchell Marsh,IPL,190,1775,31,101
