name,format,runs,balls,matches,innings
Jason Holder,T20,121,85,18,11
Mohsin Khan,T20,68,57,10,5
MS Dhoni,T20,198,130,10,6
Ishant Sharma,T20,45,51,33,8
Lalit Yadav,T20,1039,589,27,14
Arzan Nagwaswalla,T20,106,91,38,14
Sakib Hussain,T20,14,15,5,5
Joe Root,T20,1109,662,38,26
Shiran Fernando,T20,120,101,49,18
Amila Aponso,T20,149,94,46,10
Yuvraj Chaudhary,T20,409,237,9,9
Akash Vasisht,T20,483,268,37,16
Tharindu Rathnanayake,T20,68,57,16,5
Dushmantha Chameera,T20,47,38,29,8
Lukman Meriwala,T20,38,14,4,0
Rahul Tripathi,T20,1596,1061,52,44
Bhanu Pania,T20,1680,1089,47,43
Praveen Jayawickrama,T20,22,47,31,14
Akash Deep,T20,2,3,7,2
Dian Forrester,T20,782,512,48,15
James Coles,T20,132,85,18,9
Nick Kelly,T20,91,70,4,3
Xavier Bartlett,T20,3,8,7,3
Sam Hain,T20,832,479,28,25
Scott Curie,T20,53,53,18,12
Dunith Wellalage,T20,267,159,20,9
CV Stephen,T20,89,67,40,16
Ravi Teja,T20,53,51,22,11
Dan Mousley,T20,139,78,5,5
Rohan Kunnummal,T20,408,269,13,10
Luhan dre pretorious,T20,208,143,8,8
Bjorn Fortuin,T20,0,3,8,3
Shubham Dubey,T20,0,1,1,1
Ayush Mhatre,IPL,5623,3771,154,141
Ruturaj Gaikwad,IPL,4671,3249,176,135
Rahul Tripathi,IPL,3575,2434,110,91
Sanju Samson,IPL,4072,2678,138,111
Mukul Choudhary,IPL,5428,3546,178,119
Shivam Dube,IPL,1746,1103,170,71
Shahbaz Ahmed,IPL,1024,709,145,61
Prashant Veer,IPL,823,568,139,50
Mitchell Starc,IPL,190,185,140,31
Adam Zampa,IPL,58,51,138,8
Matheesha Pathirana,IPL,18,10,27,1
Shubman Gill,IPL,8738,5965,222,184
Bhanu Pania,IPL,912,668,43,37
Ishan Kishan,IPL,7340,4451,239,175
Joe Root,IPL,41,41,6,5
Suryakumar Yadav,IPL,2210,1469,108,75
