batter,bowler,balls,runs,wickets,dots,fours,sixes,dot_pct,strike_rate,average
Aneurin Donald,Arpit Vasavada,32,64,1,7,4,5,21.88,200.0,64.0
Aneurin Donald,Ashok Sharma,69,90,3,18,4,3,26.09,130.43,30.0
Aneurin Donald,Ashwin Das,11,7,0,4,0,0,36.36,63.64,7.0
Aneurin Donald,Athisayaraj Davidson,5,7,0,1,1,0,20.0,140.0,7.0
Aneurin Donald,Avinov Choudhary,27,60,0,2,4,3,7.41,222.22,60.0
Aneurin Donald,Axar Patel,1,1,0,0,0,0,0.0,100.0,1.0
Aneurin Donald,Beau Webster,8,14,0,1,0,1,12.5,175.0,14.0
Aneurin Donald,Bhuvneshwar Kumar,47,120,1,5,8,9,10.64,255.32,120.0
Aneurin Donald,Binura Fernando,21,41,0,3,4,2,14.29,195.24,41.0
Aneurin Donald,Brad Evans,13,22,0,5,1,2,38.46,169.23,22.0
Aneurin Donald,Brian Bennett,2,4,1,1,1,0,50.0,200.0,4.0
Aneurin Donald,CV Stephen,14,32,0,4,0,4,28.57,228.57,32.0
Aneurin Donald,Calvin Harrison,17,23,1,3,1,1,17.65,135.29,23.0
Aneurin Donald,Cameron Green,4,10,0,0,0,1,0.0,250.0,10.0
Aneurin Donald,Craig Overton,3,7,0,0,1,0,0.0,233.33,7.0
Aneurin Donald,Dushan Hemantha,2,1,1,1,0,0,50.0,50.0,1.0
Aneurin Donald,Duvindu Tillakaratne,3,3,0,0,0,0,0.0,100.0,3.0
Aneurin Donald,Gangam Anikethreddy,1,0,0,1,0,0,100.0,0.0,0.0
Aneurin Donald,Glenton Stuurman,33,66,1,9,6,4,27.27,200.0,66.0
Aneurin Donald,Gurinder Singh,43,77,2,4,5,3,9.3,179.07,38.5
Aneurin Donald,Gus Atkinson,9,17,0,1,1,0,11.11,188.89,17.0
Aneurin Donald,Hardik Pandya,5,10,0,0,1,0,0.0,200.0,10.0
Aneurin Donald,Isitha Wijesundara,3,6,0,0,1,0,0.0,200.0,6.0
Aneurin Donald,Jacob Bethell,14,29,1,3,1,3,21.43,207.14,29.0
Aneurin Donald,Jai Moondra,30,47,1,11,3,2,36.67,156.67,47.0
Aneurin Donald,Jamie Overton,7,17,0,2,0,2,28.57,242.86,17.0
Aneurin Donald,Jasprit Bumrah,53,92,2,12,7,4,22.64,173.58,46.0
Aneurin Donald,Joel Davies,28,61,2,2,4,4,7.14,217.86,30.5
Aneurin Donald,Josh Hazlewood,17,20,0,2,0,0,11.76,117.65,20.0
Aneurin Donald,Kagiso Rabada,23,55,1,2,0,6,8.7,239.13,55.0
Aneurin Donald,Karan Lal,4,12,0,0,1,1,0.0,300.0,12.0
Aneurin Donald,Kranthi Kumar,26,41,2,8,3,2,30.77,157.69,20.5
Aneurin Donald,Krunal Pandya,7,17,0,0,1,1,0.0,242.86,17.0
Aneurin Donald,Kuldeep Yadav,10,17,1,1,1,1,10.0,170.0,17.0
